"","Aboobaker_X1_1","Aboobaker_X1_2","Aboobaker_G2_1","Aboobaker_G2_2","Aboobaker_G1_1","Aboobaker_G1_2","Pearson_X1_1","Pearson_X1_2","Pearson_X2_1","Pearson_X2_2","Pearson_Xins_1","Pearson_Xins_2","Reddien_X1_1","Reddien_X1_2","Reddien_X2_1","Reddien_X2_2","Sanchez_X1_1","Sanchez_X1_2","Sanchez_X1_3","Sanchez_X1_4","Sanchez_Xins_1","Sanchez_Xins_2","Sanchez_Xins_3","Sanchez_Xins_4"
"MSTRG.1",591,1185,107,140,97,81,362,522,608,606,121,108,427,432,471,519,942,1040,852,1000,841,1108,1297,704
"MSTRG.100",496,1082,316,445,215,202,249,218,788,840,1912,1863,393,396,352,457,372,312,280,394,615,549,683,568
"MSTRG.1000",308,788,186,262,182,142,353,414,138,130,204,189,295,304,134,154,116,71,128,69,38,74,55,43
"MSTRG.10000",3667,7375,676,844,475,423,1762,1689,4589,4577,4968,5086,2426,2507,2571,3079,671,607,888,603,1772,1273,1522,1867
"MSTRG.10002",1296,2888,582,571,313,308,1006,1067,1464,1424,1654,1639,1168,1185,1028,1154,412,456,468,332,389,398,347,470
"MSTRG.10003",41,77,40,43,84,40,45,36,60,58,727,734,17,28,31,40,13,8,16,13,58,88,47,83
"MSTRG.10005",64,137,22,25,51,9,22,25,17,26,778,737,30,25,44,36,17,4,7,1,56,50,55,45
"MSTRG.10006",21,55,7,9,20,0,15,12,12,11,264,231,12,9,20,13,3,6,2,1,31,20,28,31
"MSTRG.10007",2,3,16,8,52,15,1,3,12,11,64,78,0,0,6,9,0,4,4,2,56,47,36,63
"MSTRG.10008",130,257,71,126,248,232,103,71,96,125,629,642,78,68,75,69,65,48,69,71,634,797,487,461
"MSTRG.1001",311,699,35,34,15,14,231,154,107,94,180,151,305,300,92,115,51,51,32,41,29,23,10,12
"MSTRG.10010",196,581,90,102,110,66,188,136,140,148,501,521,200,199,78,84,205,149,170,158,255,273,346,348
"MSTRG.10012",3,16,4,16,6,16,1,1,22,21,141,127,1,5,8,17,3,0,0,1,61,23,72,54
"MSTRG.10014",0,6,0,0,10,4,0,0,0,0,17,32,0,0,1,0,0,0,0,0,1,4,0,0
"MSTRG.10015",0,0,0,0,4,3,0,1,0,0,14,20,1,0,0,2,0,0,0,0,0,1,1,4
"MSTRG.10016",22,85,6,2,0,1,6,4,29,23,4,7,12,6,30,18,6,0,4,0,9,0,8,4
"MSTRG.10017",14,23,6,21,11,4,19,17,4,7,25,23,10,5,12,14,10,6,18,14,11,9,12,12
"MSTRG.10018",9,43,118,144,265,255,12,8,30,44,1647,1714,9,7,159,191,0,6,0,0,388,215,277,349
"MSTRG.10019",65,234,88,137,228,155,45,18,344,422,5124,5073,34,43,1011,1133,35,4,6,0,763,509,477,607
"MSTRG.1002",33,48,1,0,0,0,39,17,19,23,49,43,65,83,14,35,16,9,8,18,3,2,2,0
"MSTRG.10020",14,39,17,38,80,29,9,4,33,39,711,781,6,5,104,115,4,0,2,0,148,60,81,86
"MSTRG.10021",40,173,187,129,415,455,34,28,197,192,3837,3988,25,27,722,752,15,3,4,4,575,305,389,437
"MSTRG.10022",8,63,127,180,231,164,14,17,50,55,1127,1185,10,8,276,281,1,1,0,2,275,152,169,212
"MSTRG.10023",39,92,105,123,163,105,16,15,171,178,1405,1481,44,34,174,124,14,24,11,13,343,297,364,409
"MSTRG.10025",120,308,391,504,576,412,65,53,1190,1204,6399,6552,88,94,1394,1509,17,23,22,11,467,577,435,1048
"MSTRG.10026",249,705,130,168,90,153,323,359,146,157,93,61,260,247,218,222,116,144,84,90,36,25,53,44
